ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
CDW,1d,2021-09-02,Bearish,203.25999,2021-09-03,202.7,199.020004,203.25999,82.38894661802581,77.51281527173182
CDW,1d,2024-11-19,Bullish,174.050003,2024-11-20,175.99001,188.23,174.050003,22.41686492410591,24.180600518738615
CDW,1w,2021-09-05,Bearish,202.7,2021-09-12,197.99001,184.0099945,202.7,83.55856834193824,76.109890501641
CE,3d,2025-03-01,Bullish,47.02,2025-03-04,55.22,64.94,47.02,17.86563772691025,21.14844961678105
CE,1w,2025-04-13,Bullish,38.38,2025-04-20,40.09,65.010002,38.38,18.941719310489503,20.18211663382698
CEG,1d,2023-08-23,Bearish,108.44,2023-08-24,106.92,107.0,108.44,79.79211380753173,75.98889930270396
CEG,3d,2024-04-05,Bearish,193.080002,2024-04-08,191.080002,176.77,193.080002,86.42632905670308,79.15097733077917
CHRW,1d,2024-02-20,Bullish,71.64,2024-02-21,72.5,73.5,71.64,20.303685217184835,24.943650932230014
CHRW,3d,2025-10-30,Bearish,153.99001,2025-11-02,152.91,136.070007,153.99001,81.11033692587748,77.50376220623747
CHRW,3d,2025-11-29,Bearish,160.32001,2025-12-02,159.53999,153.99001,160.32001,77.50376220623747,76.22153357510395
CHTR,1d,2023-08-29,Bearish,451.10001,2023-08-30,439.51001,428.29001,451.10001,78.14997805301942,76.73459052016608
CINF,1d,2021-01-19,Bearish,93.77,2021-01-20,92.48,87.37,93.77,77.64916171264213,75.10857434244771
CL,3d,2024-03-27,Bearish,90.050003,2024-03-30,89.059998,86.12,90.050003,79.85020047327308,78.2589832630334
CL,3d,2024-05-08,Bearish,95.099998,2024-05-11,94.46,90.050003,95.099998,78.2589832630334,78.21004173914451
CL,3d,2021-03-01,Bullish,74.61,2021-03-04,76.059998,78.0,74.61,17.60805577781744,18.7561561042408
CMA,1w,2023-05-14,Bullish,31.97,2023-05-21,38.34,40.4,31.97,22.521897164732067,22.671893541643485
CME,3d,2023-10-11,Bearish,219.38,2023-10-14,218.82001,206.45,219.38,75.62132705409321,75.08557365900802
CMG,1d,2023-05-19,Bearish,42.1244,2023-05-22,42.038799,41.3524,42.1244,86.56529328837993,79.77637491393472
CMG,3d,2023-05-17,Bearish,42.1244,2023-05-20,42.038799,41.3524,42.1244,80.85576406924501,78.53254085053705
COF,3d,2024-01-24,Bearish,138.72,2024-01-27,138.48,133.71001,138.72,81.9725093689587,75.26451643887181
COF,1w,2021-08-15,Bearish,177.73,2021-08-22,168.22,166.25999,177.73,88.72802697846272,75.80497202799339
COP,1d,2021-03-11,Bearish,59.83,2021-03-12,59.19,54.67,59.83,76.47431064547764,75.62859973559057
COP,1d,2021-10-26,Bearish,77.029999,2021-10-27,74.43,74.92,77.029999,83.6551693750304,76.1930767064365
COST,1d,2021-11-29,Bearish,554.88,2021-11-30,539.38,515.62,554.88,82.25087199289828,81.46103533101797
COST,3d,2024-07-07,Bearish,886.84998,2024-07-10,842.90002,870.75,886.84998,81.71724936927772,77.33623433101707
COST,1w,2024-07-07,Bearish,885.66998,2024-07-14,842.90002,749.44,885.66998,82.42488911436142,81.8437170875231
CPT,1d,2023-10-30,Bullish,83.93,2023-10-31,84.88,92.51,83.93,16.872791693779888,21.95090861307216
CPT,3d,2021-07-29,Bearish,149.39,2021-08-01,148.37,135.25999,149.39,84.51392556534414,80.61754818935825
CRM,1d,2023-12-21,Bearish,267.25,2023-12-22,266.34,260.0,267.25,88.6800165766942,76.40137063996855
CRM,1d,2024-12-04,Bearish,367.87,2024-12-05,361.38,341.73001,367.87,83.38896633052322,75.07426053778507
CRWD,3d,2024-02-08,Bearish,329.34,2024-02-11,322.44,260.079987,329.34,87.14822446291001,82.24109749706643
