ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
MCK,1d,Bearish,2022-04-20,2022-04-21,331.45,3.017,1000.0,0.0,0.0,1,12,Breakeven
ETR,1d,Bearish,2022-04-20,2022-04-21,62.66,15.9591,1000.0,77.32,7.73,2,80,Win
K,1d,Bearish,2022-05-09,2022-05-10,68.48,14.603,1000.0,0.0,0.0,1,39,Breakeven
NFLX,1d,Bullish,2022-05-11,2022-05-12,17.43,57.3691,1000.0,-50.0,-5.0,1,1,Loss
PSA,1d,Bullish,2022-05-18,2022-05-19,309.77,3.2282,1000.0,0.0,0.0,1,15,Breakeven
VLO,3d,Bearish,2022-06-06,2022-06-09,140.51,7.1169,1000.0,166.49,16.65,3,93,Win
PLD,1d,Bullish,2022-06-13,2022-06-14,110.66,9.0367,1000.0,129.14,12.91,3,56,Win
ALGN,3d,Bullish,2022-06-15,2022-06-21,251.12,3.9822,1000.0,-50.0,-5.0,1,1,Loss
TROW,1w,Bullish,2022-06-19,2022-06-26,121.5,8.2305,1000.0,-50.0,-5.0,1,3,Loss
NFLX,1w,Bullish,2022-06-19,2022-06-26,19.08,52.3972,1000.0,-50.0,-5.0,1,2,Loss
DOW,1d,Bullish,2022-07-14,2022-07-15,49.55,20.1816,1000.0,72.62,7.26,2,34,Win
CAH,1d,Bearish,2022-09-01,2022-09-02,70.99,14.0865,1000.0,0.0,0.0,1,27,Breakeven
ESS,1d,Bullish,2022-10-07,2022-10-10,221.44,4.5159,1000.0,0.0,0.0,1,14,Breakeven
O,1d,Bullish,2022-10-14,2022-10-17,57.49,17.3943,1000.0,99.32,9.93,2,103,Win
DD,1d,Bearish,2022-11-23,2022-11-25,29.81,33.5439,1000.0,0.0,0.0,1,29,Breakeven
UHS,1d,Bearish,2022-12-21,2022-12-22,140.99,7.0927,1000.0,-50.0,-5.0,1,9,Loss
WST,1d,Bearish,2023-03-03,2023-03-06,323.4,3.0921,1000.0,-50.0,-5.0,1,17,Loss
GE,3d,Bearish,2023-04-29,2023-05-02,79.27,12.6158,1000.0,-50.0,-5.0,1,14,Loss
CCEP,1d,Bearish,2023-05-16,2023-05-17,66.29,15.0852,1000.0,0.0,0.0,1,21,Breakeven
CMG,3d,Bearish,2023-05-17,2023-05-20,42.04,23.7875,1000.0,121.43,12.14,2,102,Win
CMA,1w,Bullish,2023-05-14,2023-05-21,38.34,26.0824,1000.0,0.0,0.0,1,4,Breakeven
CMG,1d,Bearish,2023-05-19,2023-05-22,42.04,23.7875,1000.0,114.23,11.42,2,104,Win
ISRG,1d,Bearish,2023-05-22,2023-05-23,301.44,3.3174,1000.0,-50.0,-5.0,1,9,Loss
APP,1d,Bearish,2023-06-05,2023-06-06,23.3,42.9185,1000.0,-50.0,-5.0,1,1,Loss
SMCI,1d,Bearish,2023-06-09,2023-06-12,25.86,38.6623,1000.0,68.9,6.89,2,14,Win
AVGO,1d,Bearish,2023-06-14,2023-06-15,88.34,11.3195,1000.0,0.0,0.0,1,18,Breakeven
LYV,1d,Bearish,2023-06-15,2023-06-16,90.18,11.0889,1000.0,-50.0,-5.0,1,20,Loss
NVDA,1d,Bearish,2023-06-20,2023-06-21,43.04,23.2315,1000.0,0.0,0.0,1,10,Breakeven
VRSK,3d,Bearish,2023-06-19,2023-06-22,224.35,4.4573,1000.0,-50.0,-5.0,1,23,Loss
META,1d,Bearish,2023-06-23,2023-06-26,278.47,3.5911,1000.0,-50.0,-5.0,1,7,Loss
RSG,3d,Bearish,2023-06-28,2023-07-01,151.4,6.605,1000.0,0.0,0.0,1,87,Breakeven
LLY,3d,Bearish,2023-06-28,2023-07-01,461.42,2.1672,1000.0,0.0,0.0,1,13,Breakeven
CCL,1d,Bearish,2023-07-10,2023-07-11,18.9,52.9101,1000.0,132.14,13.21,3,105,Win
PHM,1d,Bearish,2023-07-14,2023-07-17,81.7,12.2399,1000.0,0.0,0.0,1,7,Breakeven
MDB,3d,Bearish,2023-07-16,2023-07-19,409.78,2.4403,1000.0,-50.0,-5.0,1,1,Loss
ADBE,1d,Bearish,2023-07-18,2023-07-19,527.17,1.8969,1000.0,-50.0,-5.0,1,32,Loss
ADBE,3d,Bearish,2023-07-16,2023-07-19,520.23,1.9222,1000.0,-50.0,-5.0,1,9,Loss
NFLX,3d,Bearish,2023-07-16,2023-07-19,42.75,23.3918,1000.0,-50.0,-5.0,1,1,Loss
T,3d,Bullish,2023-07-16,2023-07-19,14.76,67.7507,1000.0,-50.0,-5.0,1,13,Loss
BRO,1d,Bearish,2023-07-25,2023-07-26,71.65,13.9567,1000.0,0.0,0.0,1,75,Breakeven
STE,1d,Bearish,2023-07-25,2023-07-26,231.86,4.3129,1000.0,-50.0,-5.0,1,6,Loss
IQV,1d,Bearish,2023-07-26,2023-07-27,224.56,4.4532,1000.0,134.28,13.43,3,78,Win
RCL,3d,Bearish,2023-07-25,2023-07-28,108.57,9.2106,1000.0,125.24,12.52,3,76,Win
SMCI,3d,Bearish,2023-08-06,2023-08-09,25.44,39.3035,1000.0,-50.0,-5.0,1,1,Loss
CEG,1d,Bearish,2023-08-23,2023-08-24,106.92,9.3528,1000.0,-50.0,-5.0,1,15,Loss
EW,1d,Bullish,2023-08-24,2023-08-25,76.17,13.1285,1000.0,-50.0,-5.0,1,16,Loss
CHTR,1d,Bearish,2023-08-29,2023-08-30,439.51,2.2753,1000.0,0.0,0.0,1,8,Breakeven
APP,1d,Bearish,2023-08-31,2023-09-01,43.19,23.1535,1000.0,0.0,0.0,1,11,Breakeven
XEL,1d,Bullish,2023-09-05,2023-09-06,56.34,17.7494,1000.0,0.0,0.0,1,17,Breakeven
NSC,1d,Bullish,2023-09-08,2023-09-11,195.97,5.1028,1000.0,0.0,0.0,1,13,Breakeven
PODD,1d,Bullish,2023-09-25,2023-09-26,159.29,6.2779,1000.0,-50.0,-5.0,1,7,Loss
UPS,1d,Bullish,2023-09-26,2023-09-27,152.41,6.5612,1000.0,-50.0,-5.0,1,22,Loss
RTX,1d,Bullish,2023-10-05,2023-10-06,69.77,14.3328,1000.0,184.64,18.46,3,101,Win
ABT,1d,Bullish,2023-10-12,2023-10-13,90.87,11.0047,1000.0,184.96,18.5,3,101,Win
CME,3d,Bearish,2023-10-11,2023-10-14,218.82,4.57,1000.0,66.23,6.62,2,84,Win
LLY,1w,Bearish,2023-10-15,2023-10-22,584.64,1.7105,1000.0,0.0,0.0,1,9,Breakeven
CBRE,1d,Bullish,2023-10-25,2023-10-26,66.46,15.0466,1000.0,241.43,24.14,3,102,Win
KEYS,3d,Bullish,2023-10-26,2023-10-29,122.05,8.1934,1000.0,166.03,16.6,3,102,Win
PLD,1d,Bullish,2023-10-27,2023-10-30,98.88,10.1133,1000.0,182.87,18.29,3,103,Win
INVH,1d,Bullish,2023-10-27,2023-10-30,29.27,34.1647,1000.0,147.65,14.77,3,67,Win
DAL,1d,Bullish,2023-10-27,2023-10-30,31.23,32.0205,1000.0,247.51,24.75,3,103,Win
MDT,1d,Bullish,2023-10-27,2023-10-30,69.97,14.2918,1000.0,174.54,17.45,3,103,Win
HD,1d,Bullish,2023-10-27,2023-10-30,281.48,3.5527,1000.0,199.63,19.96,3,103,Win
O,1d,Bullish,2023-10-30,2023-10-31,47.38,21.106,1000.0,130.32,13.03,3,72,Win
CPT,1d,Bullish,2023-10-30,2023-10-31,84.88,11.7813,1000.0,129.77,12.98,2,103,Win
FMC,1d,Bullish,2023-11-01,2023-11-02,54.69,18.2849,1000.0,-50.0,-5.0,1,1,Loss
ENPH,1d,Bullish,2023-11-09,2023-11-10,77.98,12.8238,1000.0,-50.0,-5.0,1,1,Loss
ILMN,1d,Bullish,2023-11-13,2023-11-14,94.83,10.5447,1000.0,239.68,23.97,3,51,Win
HAS,1d,Bullish,2023-11-13,2023-11-14,45.12,22.1631,1000.0,67.53,6.75,2,43,Win
ILMN,3d,Bullish,2023-11-16,2023-11-19,93.36,10.7117,1000.0,259.32,25.93,3,47,Win
MSI,1d,Bearish,2023-12-12,2023-12-13,326.94,3.0587,1000.0,0.0,0.0,1,25,Breakeven
RSG,1d,Bearish,2023-12-13,2023-12-14,162.69,6.1467,1000.0,-50.0,-5.0,1,29,Loss
SPGI,1d,Bearish,2023-12-14,2023-12-15,435.78,2.2947,1000.0,-50.0,-5.0,1,36,Loss
EMN,1d,Bearish,2023-12-14,2023-12-15,88.47,11.3033,1000.0,0.0,0.0,1,53,Breakeven
MMM,1d,Bearish,2023-12-14,2023-12-15,89.45,11.1797,1000.0,65.85,6.58,2,60,Win
PDD,1d,Bearish,2023-12-19,2023-12-20,146.43,6.8292,1000.0,131.45,13.14,3,62,Win
CRM,1d,Bearish,2023-12-21,2023-12-22,266.34,3.7546,1000.0,0.0,0.0,1,12,Breakeven
QRVO,1d,Bearish,2023-12-27,2023-12-28,114.18,8.7581,1000.0,67.02,6.7,2,28,Win
CTAS,1d,Bearish,2023-12-27,2023-12-28,150.27,6.6546,1000.0,-50.0,-5.0,1,39,Loss
ESS,1d,Bearish,2023-12-28,2023-12-29,247.94,4.0332,1000.0,0.0,0.0,1,69,Breakeven
TMUS,1d,Bearish,2024-01-08,2024-01-09,163.2,6.1275,1000.0,-50.0,-5.0,1,100,Loss
SPG,3d,Bearish,2024-01-12,2024-01-15,142.12,7.0363,1000.0,-50.0,-5.0,1,24,Loss
HD,3d,Bearish,2024-01-18,2024-01-21,350.78,2.8508,1000.0,-50.0,-5.0,1,16,Loss
TMUS,1d,Bearish,2024-01-19,2024-01-22,164.38,6.0835,1000.0,-50.0,-5.0,1,92,Loss
ABBV,1d,Bearish,2024-01-23,2024-01-24,164.22,6.0894,1000.0,-50.0,-5.0,1,8,Loss
QCOM,1d,Bearish,2024-01-25,2024-01-26,150.72,6.6348,1000.0,0.0,0.0,1,11,Breakeven
COF,3d,Bearish,2024-01-24,2024-01-27,138.48,7.2213,1000.0,-50.0,-5.0,1,43,Loss
PTC,1d,Bearish,2024-01-29,2024-01-30,184.05,5.4333,1000.0,-50.0,-5.0,1,37,Loss
PTC,3d,Bearish,2024-01-27,2024-01-30,179.4,5.5741,1000.0,-50.0,-5.0,1,23,Loss
C,1d,Bearish,2024-01-30,2024-01-31,56.17,17.8031,1000.0,0.0,0.0,1,16,Breakeven
BK,1d,Bearish,2024-01-30,2024-01-31,55.46,18.031,1000.0,-50.0,-5.0,1,45,Loss
AMGN,3d,Bearish,2024-01-30,2024-02-02,323.19,3.0942,1000.0,65.6,6.56,2,64,Win
AMGN,1d,Bearish,2024-02-01,2024-02-02,323.19,3.0942,1000.0,65.6,6.56,2,64,Win
MRK,1d,Bearish,2024-02-07,2024-02-08,126.61,7.8983,1000.0,-50.0,-5.0,1,34,Loss
